[DEBUG] Starting DMA: src=00000000, dst=00000a00, width= 8
[DEBUG] Blocks:  2x 2
[DEBUG] Read REQ: block( 0, 0), row=0, addr=00000000
[DEBUG] Read DATA[0,0] =        633 -> buffer[1][1]
[DEBUG] Storing rdata=       633 at buffer[1][1]
[DEBUG] Read DATA[0,1] =        633 -> buffer[2][1]
[DEBUG] Read DATA[0,1] =        205 -> buffer[2][1]
[DEBUG] Storing rdata=       205 at buffer[2][1]
[DEBUG] Read DATA[0,2] =        205 -> buffer[3][1]
[DEBUG] Read DATA[0,2] =       3218 -> buffer[3][1]
[DEBUG] Storing rdata=      3218 at buffer[3][1]
[DEBUG] Read DATA[0,3] =       3218 -> buffer[4][1]
[DEBUG] Read DATA[0,3] =         69 -> buffer[4][1]
[DEBUG] Storing rdata=        69 at buffer[4][1]
[DEBUG] Read REQ: block( 0, 0), row=1, addr=00000020
[DEBUG] Read DATA[1,0] =        587 -> buffer[1][2]
[DEBUG] Storing rdata=       587 at buffer[1][2]
[DEBUG] Read DATA[1,1] =        587 -> buffer[2][2]
[DEBUG] Read DATA[1,1] =        443 -> buffer[2][2]
[DEBUG] Storing rdata=       443 at buffer[2][2]
[DEBUG] Read DATA[1,2] =        443 -> buffer[3][2]
[DEBUG] Read DATA[1,2] =       2433 -> buffer[3][2]
[DEBUG] Storing rdata=      2433 at buffer[3][2]
[DEBUG] Read DATA[1,3] =       2433 -> buffer[4][2]
[DEBUG] Read DATA[1,3] =       2226 -> buffer[4][2]
[DEBUG] Storing rdata=      2226 at buffer[4][2]
[DEBUG] Read REQ: block( 0, 0), row=2, addr=00000040
[DEBUG] Read DATA[2,0] =       1532 -> buffer[1][3]
[DEBUG] Storing rdata=      1532 at buffer[1][3]
[DEBUG] Read DATA[2,1] =       1532 -> buffer[2][3]
[DEBUG] Read DATA[2,1] =       1199 -> buffer[2][3]
[DEBUG] Storing rdata=      1199 at buffer[2][3]
[DEBUG] Read DATA[2,2] =       1199 -> buffer[3][3]
[DEBUG] Read DATA[2,2] =       3744 -> buffer[3][3]
[DEBUG] Storing rdata=      3744 at buffer[3][3]
[DEBUG] Read DATA[2,3] =       3744 -> buffer[4][3]
[DEBUG] Read DATA[2,3] =       3854 -> buffer[4][3]
